Date,AXP,BAC,BK,C,CB,COF,GS,JPM,MS,PNC,SCHW,STT,TFC,USB,WFC
2015-08-24,12873200,214649500,12295500,37767000,5703900,4382600,7183600,36339100,24624100,4890500,14441200,4985800,10741900,19382200,40198100
2015-08-25,7779000,194377000,10897400,27809200,3455300,3577000,7204800,31772500,19890100,3367400,14719500,4179500,9155300,16313700,31041800
2015-08-26,6505800,174208500,9426300,30721900,3644400,3699900,5561800,33576800,25346400,4152900,21359100,3644200,9351600,12679500,30235800
2015-08-27,7025000,124185400,8066400,26467300,2837100,4724900,3798500,29045700,21258600,3062500,17298000,3134900,6845300,9832900,26452500
2015-08-28,4919000,75899300,4827000,17205400,2426600,2262200,2413100,16687300,13192400,2336600,11173500,2003900,3874900,6053700,18342200
2015-08-31,4559700,66695200,6718600,20629000,2197000,2674300,2858000,14223400,13393000,2071700,7884800,2616800,4664900,6342200,13842200
2015-09-01,6101100,119064000,8365800,28621600,3025600,2813000,5494500,23637300,14590100,3271200,12905000,3690200,7243900,12097800,28031700
2015-09-02,5914400,74820400,6513200,17515800,2130000,2580200,3043800,17757900,12151000,2575100,10986100,2249000,4397300,6052700,20919600
2015-09-03,4783000,77175800,8189500,15708700,2136300,2940000,2902200,17065400,11670800,2336400,10587600,2310300,6135600,6721200,15719000
2015-09-04,5095200,104539500,6382000,19054500,2508900,2249800,4295600,20189000,12774100,3143800,7258000,2448200,4278100,8078400,22303800
2015-09-08,6046300,73960200,6037400,17160200,1950400,2613000,3060100,13385100,13449200,2866600,14208300,2350000,3307700,11072300,19685400
2015-09-09,4959800,70466100,5769300,16930900,1837100,2254200,4756800,13889500,10657200,2032200,8807900,2209300,3558500,7780300,16221500
2015-09-10,4764600,71110200,5702200,17467000,1683300,2530900,3042600,15751100,9692500,1859700,10879000,2372800,6171400,9575000,17996200
2015-09-11,3843600,54287700,4586600,12001800,1591600,2324400,2536800,12766700,7800900,1440500,6891400,1981400,3594200,8327100,12549400
2015-09-14,4452100,50640900,4325500,11427000,1650900,2658200,2746000,10202800,9102200,1743300,7141600,1522700,3837900,8854000,16225600
2015-09-15,5473700,62327100,5256700,17858900,1936600,3328300,3092800,14023500,8776700,2272600,9955300,3418300,3271300,11631300,14305500
2015-09-16,4193100,83776400,4170900,17369500,1405600,2869600,2717800,12235900,10540400,1749400,9795900,2475500,3505800,7683400,15218500
2015-09-17,4181800,119088200,7720400,24075200,2626500,2744500,3712600,21249200,13617200,2585700,19452600,3090300,5814300,15542700,25025800
2015-09-18,12402900,136531200,10558100,33404600,3566800,4956100,6529900,31008000,19591300,4116700,24464200,4757900,6554500,33377500,39561600
2015-09-21,3266300,79096200,3907100,14936600,2327500,2219900,2947200,13136400,8950900,1748800,9777600,2551100,3248800,8472100,16673300
2015-09-22,5047200,92235200,5799600,19610600,2647200,2188000,4166900,14811900,13385500,1823700,11576600,3236000,3624700,8851600,21761300
2015-09-23,3183300,78117500,3731300,13680200,2540500,2097300,2732600,11712200,12264700,1332500,6852800,2373000,3827200,3917700,12521200
2015-09-24,6108900,99520100,4719200,32241000,1989600,3693200,3910000,17293400,16766500,3348700,13876900,3485400,2923600,8418500,17064300
2015-09-25,4478000,88655000,7025300,22341800,2657600,2522200,3026500,18384300,13797800,2423800,18246400,2718600,3426600,8788400,18394800
2015-09-28,5894700,91324300,6946900,21919800,2657400,1993200,3898500,17452200,15445400,2748100,9989600,3047100,5569500,9427500,17647900
2015-09-29,5283000,79829400,4890000,16485000,2097800,2837800,4419100,19334900,13715900,2039000,13568300,2432900,3821800,6411300,20816400
2015-09-30,4912200,71347100,6191500,17629000,2993300,2689600,2931500,18743800,15024800,2393200,11409500,2848800,4026600,8825200,20514800
2015-10-01,4741100,71516800,5591000,16291000,3354300,4221000,3613000,16863200,13358700,2391100,10716100,2190700,3946500,6274100,15556600
2015-10-02,5072400,181838400,7653900,27320900,2019600,3122500,4469900,20435100,22822500,3379100,30332600,3499400,9633700,15273500,21630300
2015-10-05,6480600,75315300,5419800,14881200,2184600,2538700,3411900,13471100,11635700,2484800,8283600,3978300,3530800,6488900,15240700
2015-10-06,3887100,67473700,4264400,12602100,2078400,2336700,1859100,12134800,8875100,2036000,13204000,1684000,3842300,5352300,14490700
2015-10-07,3431800,66655600,4873900,16572000,2596600,2338200,2572200,12773100,13458400,2841400,12248900,2435900,3771500,4870400,13863500
2015-10-08,3298900,79056900,4107800,16903000,1964200,2422000,3253400,13964600,11407600,1813300,9136300,1190700,3437200,5017900,15384100
2015-10-09,2651800,76667100,4191000,14341200,3162700,2209500,3334900,12112000,11711000,1693300,8358700,2626400,3378400,4307300,16983100
